Day20P1,geneName
PA14_12100,
PA14_18080,
PA14_44070,
PA14_24690,
PA14_35720,
PA14_35730,
PA14_35740,tpnA
PA14_35750,tpnC
PA14_35760,
PA14_35770,
PA14_35780,
PA14_35790,
PA14_35800,
PA14_35810,
PA14_35820,tnpS
PA14_35830,tnpT
PA14_35840,
PA14_35850,
PA14_35860,
PA14_35880,
PA14_35890,
PA14_35900,
PA14_35920,
PA14_35930,
PA14_35940,
PA14_35950,
PA14_35970,
PA14_35980,
PA14_35990,
PA14_36000,prpR
PA14_36010,
PA14_36020,
PA14_36030,
PA14_36050,
PA14_36060,
PA14_36070,
PA14_36080,yfaV
PA14_36090,opdG
PA14_36100,
PA14_36110,
PA14_36120,
PA14_36130,
PA14_36150,
PA14_36170,
PA14_36180,
PA14_36190,
PA14_36200,
PA14_36220,gltJ
PA14_36230,glnP
PA14_36250,
PA14_36260,
PA14_36270,
PA14_36280,
PA14_36290,yncB
PA14_36300,
PA14_36310,hcnC
PA14_36320,hcnB
PA14_36330,hcnA
PA14_36345,exoY
PA14_36350,
PA14_36360,
PA14_36370,
PA14_36375,
PA14_36390,
PA14_36400,
PA14_36410,
PA14_36420,
PA14_36450,
PA14_36460,
PA14_36470,
PA14_36480,
PA14_36490,
PA14_36500,
PA14_36520,
PA14_36530,
PA14_36540,
PA14_36550,
PA14_36560,
PA14_36570,glgA
PA14_36580,glgB
PA14_36590,malQ
PA14_36605,
PA14_36620,
PA14_36630,glgX
PA14_36650,
PA14_36660,
PA14_36670,
PA14_36680,
PA14_36690,ybhO
PA14_36700,
PA14_36710,glgB
PA14_36730,
PA14_36740,
PA14_36760,
PA14_36770,
PA14_36780,
PA14_36790,
PA14_36810,katE
PA14_36820,
PA14_36830,
PA14_36840,glgP
PA14_36850,
PA14_36860,
PA14_36870,
PA14_36880,
PA14_36890,
PA14_36900,
PA14_36910,
PA14_36920,
PA14_36930,
PA14_36940,
PA14_36960,
PA14_36980,
PA14_36990,
PA14_37000,cupA5
PA14_37010,cupA4
PA14_37030,cupA3
PA14_37040,cupA2
PA14_37060,cupA1
PA14_37070,
PA14_37080,
PA14_37090,gbsA
PA14_37100,
PA14_37120,
PA14_37130,
PA14_37140,
PA14_37150,
PA14_37170,
PA14_37190,ada
PA14_37200,
PA14_37210,
PA14_37220,
PA14_37250,
PA14_37260,opdO
PA14_37270,
PA14_37290,
PA14_37310,
PA14_37320,
PA14_37340,
PA14_37350,
PA14_37360,
PA14_37370,
PA14_37380,
PA14_37400,
PA14_37410,
PA14_37420,
PA14_37430,
PA14_37440,
PA14_37460,
PA14_37470,
PA14_37490,
PA14_37510,
PA14_37520,
PA14_37530,
PA14_37550,
PA14_37560,asnB
PA14_37570,
PA14_37580,lrp
PA14_37590,kynB
PA14_37610,
PA14_37630,
PA14_37640,
PA14_37650,
PA14_37660,
PA14_37670,
PA14_37680,
PA14_37690,
PA14_37710,fusA2
PA14_37730,
PA14_37745,
PA14_37760,
PA14_37770,
PA14_37780,
PA14_37790,pcoA
PA14_37810,pcoB
PA14_37820,
PA14_37830,iscS
PA14_37840,
PA14_37850,yejE
PA14_37870,
PA14_37880,
PA14_37900,
PA14_37910,
PA14_37915,
PA14_37940,cynR
PA14_37950,cynT
PA14_37965,cynS
PA14_37980,
PA14_37990,
PA14_38000,
PA14_38010,
PA14_38020,
PA14_38040,
PA14_38050,
PA14_38060,
PA14_38080,
PA14_38090,
PA14_38110,ygjU
PA14_38130,ycjJ
PA14_38140,
PA14_38160,azlC
PA14_38170,
PA14_38180,
PA14_38190,
PA14_38200,ilvG
PA14_38210,
PA14_38220,
PA14_38250,yjiR
PA14_38260,
PA14_38270,
PA14_38290,
PA14_38300,grp
PA14_38310,
PA14_38320,yfeH
PA14_38330,gor
PA14_38340,
PA14_38350,galU
PA14_38360,ugd
PA14_38370,
PA14_38380,amrR
PA14_38395,
PA14_38410,amrB
PA14_38420,
PA14_38430,gnyR
PA14_38440,gnyD
PA14_38460,gnyB
PA14_38470,gnyH
PA14_38480,gnyA
PA14_38490,gnyL
PA14_38500,
PA14_38510,hmgA
PA14_38530,fahA
PA14_38550,maiA
PA14_38560,pcaK
PA14_38570,
PA14_38580,
PA14_38590,bdhA
PA14_38610,
PA14_38630,atoB
PA14_38640,scoB
PA14_38660,scoA
PA14_38680,
PA14_38690,acsA
PA14_38700,ppiC1
PA14_38710,
PA14_38720,
PA14_38730,yhhS
PA14_38740,
PA14_38750,
PA14_38770,
PA14_38780,pqqE
PA14_38790,pqqD
PA14_38800,pqqC
PA14_38820,pqqB
PA14_38825,pqqA
PA14_38840,exaC
PA14_38850,exaB
PA14_38860,exaA
PA14_38880,
PA14_38900,exaE
PA14_38910,exaD
PA14_38920,
PA14_38930,glpR
PA14_38950,
PA14_38970,
PA14_38990,
PA14_39000,
PA14_39010,pqqF
PA14_39020,
PA14_39050,braZ
PA14_39060,
PA14_39070,
PA14_39080,
PA14_39090,
PA14_39100,
PA14_39110,
PA14_39130,ybiT
PA14_39140,
PA14_39150,acpD
PA14_39160,
PA14_39180,
PA14_39190,bacA
PA14_39200,
PA14_39210,nadR
PA14_39220,
PA14_39230,
PA14_39240,
PA14_39250,
PA14_39260,
PA14_39270,
PA14_39280,rbsK
PA14_39300,rbsR
PA14_39320,rbsC
PA14_39330,rbsA
PA14_39350,rbsB
PA14_39360,
PA14_39390,
PA14_39410,
PA14_39420,
PA14_39440,
PA14_39460,
PA14_39470,
PA14_39480,
PA14_39500,
PA14_39520,
PA14_39530,
PA14_39540,
PA14_39560,
PA14_39570,
PA14_39580,rimJ
PA14_39590,metE
PA14_39610,
PA14_39620,
PA14_39630,
PA14_39640,
PA14_39650,cirA
PA14_39660,
PA14_39670,
PA14_39690,nrdD
PA14_39700,
PA14_39710,nrdG
PA14_39720,
PA14_39730,
PA14_39750,
PA14_39770,
PA14_39780,hvn
PA14_39790,
PA14_39800,
PA14_39810,
PA14_39820,ufrA
PA14_39830,
PA14_39850,
PA14_39860,
PA14_39870,apaH
PA14_39880,phzG2
PA14_39890,phzF2
PA14_39910,phzE2
PA14_39925,phzD2
PA14_39945,phzC2
PA14_39960,phzB2
PA14_39970,phzA2
PA14_39980,qscR
PA14_39990,
PA14_40010,
PA14_40020,
PA14_40030,
PA14_40040,
